Date,Province,Agriculture,Mining,Manufacturing,Construction,Trade,Transport,Finance,Community and social services
30-12-2010,EasternCape,66,1,154,128,304,67,104,322
30-12-2010,NorthenCape,54,9,13,19,39,12,22,88
30-12-2010,FreeState,63,29,63,53,167,36,79,188
30-12-2010,KZN,114,13,358,218,502,177,255,480
30-12-2010,NorthWest,35,138,85,48,181,23,60,159
30-12-2010,Gauteng,31,25,750,309,1 024,281,748,770
30-12-2010,Mpumalanga,81,54,86,82,236,38,89,204
30-12-2010,Limpopo,70,49,69,111,255,40,60,216
30-09-2010,WesternCape,157,4,296,161,412,123,285,418
30-09-2010,EasternCape,77,1,152,118,321,67,99,321
30-09-2010,NorthenCape,41,13,11,20,43,11,26,89
30-09-2010,FreeState,67,32,66,50,181,33,71,171
30-09-2010,KZN,118,6,358,218,485,185,263,449
30-09-2010,NorthWest,39,120,79,43,185,23,69,166
30-09-2010,Gauteng,37,39,702,331,990,281,712,797
30-09-2010,Mpumalanga,78,65,84,79,235,45,95,186
30-09-2010,Limpopo,60,48,66,98,239,43,67,208
30-06-2010,WesternCape,165,1,305,176,425,111,299,420
30-06-2010,EasternCape,56,2,129,109,301,71,110,325
30-06-2010,NorthenCape,33,12,13,19,46,7,23,89
30-06-2010,FreeState,73,30,71,49,163,42,66,179
30-06-2010,KZN,110,8,358,225,487,155,298,462
30-06-2010,NorthWest,43,125,84,46,165,23,67,172
30-06-2010,Gauteng,35,30,703,303,972,310,808,807
30-06-2010,Mpumalanga,85,63,87,73,236,48,91,200
30-06-2010,Limpopo,55,63,57,98,260,42,64,211
30-03-2010,WesternCape,188,1,309,164,441,109,292,416
30-03-2010,EasternCape,62,1,134,107,293,75,112,322
30-03-2010,NorthenCape,46,9,12,15,47,10,19,88
30-03-2010,FreeState,73,33,70,46,160,45,57,188
30-03-2010,KZN,115,8,403,231,501,152,264,480
30-03-2010,NorthWest,41,136,73,58,160,27,72,159
30-03-2010,Gauteng,38,22,709,309,930,340,824,770
30-03-2010,Mpumalanga,72,61,75,70,235,46,95,204
30-03-2010,Limpopo,48,53,62,106,254,34,45,216
30-12-2009,WesternCape,141,3,319,195,432,92,296,417
30-12-2009,EasternCape,66,1,153,112,274,79,128,323
30-12-2009,NorthenCape,52,12,14,18,44,14,25,88
30-12-2009,FreeState,74,37,80,56,171,44,54,168
30-12-2009,KZN,110,7,384,229,506,154,290,471
30-12-2009,NorthWest,42,127,76,60,157,26,74,171
30-12-2009,Gauteng,29,23,692,307,975,309,881,778
30-12-2009,Mpumalanga,73,58,86,92,254,46,94,183
30-12-2009,Limpopo,60,55,83,108,266,38,66,207
30-09-2009,WesternCape,138,4,316,180,439,99,290,399
30-09-2009,EasternCape,72,4,157,107,280,73,126,311
30-09-2009,NorthenCape,40,9,16,11,40,10,21,85
30-09-2009,FreeState,85,28,74,58,163,42,59,159
30-09-2009,KZN,113,7,390,237,505,172,298,469
30-09-2009,NorthWest,38,118,91,60,150,21,75,174
30-09-2009,Gauteng,49,35,663,310,974,300,808,786
30-09-2009,Mpumalanga,81,65,81,96,234,44,88,184
30-09-2009,Limpopo,66,55,78,94,252,36,59,225
30-06-2009,WesternCape,158,2,324,196,446,86,277,404
30-06-2009,EasternCape,86,2,197,111,311,75,126,305
30-06-2009,NorthenCape,66,12,11,22,43,12,18,78
30-06-2009,FreeState,88,33,73,55,161,38,66,167
30-06-2009,KZN,103,12,411,232,511,174,273,460
30-06-2009,NorthWest,47,132,98,53,198,21,74,162
30-06-2009,Gauteng,46,34,761,351,1 005,287,865,844
30-06-2009,Mpumalanga,87,66,88,96,234,46,99,177
30-06-2009,Limpopo,72,56,70,91,247,40,55,240
30-03-2009,WesternCape,158,4,334,212,469,100,307,380
30-03-2009,EasternCape,82,3,191,91,310,67,105,301
30-03-2009,NorthenCape,44,11,12,21,50,10,21,80
30-03-2009,FreeState,91,34,81,65,167,37,64,170
30-03-2009,KZN,136,9,384,219,502,185,271,489
30-03-2009,NorthWest,50,150,81,52,207,25,74,162
30-03-2009,Gauteng,65,42,786,369,1 014,295,857,828
30-03-2009,Mpumalanga,89,66,92,102,251,51,103,177
30-03-2009,Limpopo,63,43,70,91,235,49,61,236
30-12-2008,WesternCape,144,3,350,210,438,95,286,390
30-12-2008,EasternCape,80,3,203,111,331,64,100,316
30-12-2008,NorthenCape,55,16,13,28,57,12,26,80
30-12-2008,FreeState,71,31,79,65,178,39,69,193
30-12-2008,KZN,163,9,390,240,579,182,266,468
30-12-2008,NorthWest,67,139,85,68,199,26,69,157
30-12-2008,Gauteng,74,38,808,360,1 065,313,806,833
30-12-2008,Mpumalanga,89,68,96,98,259,57,97,167
30-12-2008,Limpopo,63,44,73,96,262,41,51,228
30-09-2008,WesternCape,130,1,351,201,452,97,278,355
30-09-2008,EasternCape,75,2,189,97,307,74,101,317
30-09-2008,NorthenCape,69,15,15,21,58,12,26,66
30-09-2008,FreeState,82,28,76,57,193,44,74,184
30-09-2008,KZN,148,8,382,222,605,167,262,473
30-09-2008,NorthWest,62,142,77,59,183,28,69,164
30-09-2008,Gauteng,78,34,800,341,1 036,315,807,828
30-09-2008,Mpumalanga,93,61,94,91,274,50,94,160
30-09-2008,Limpopo,72,48,71,91,232,36,58,227
30-06-2008,WesternCape,175,1,348,194,420,103,277,371
30-06-2008,EasternCape,86,2,171,113,313,85,136,333
30-06-2008,NorthenCape,54,14,14,15,56,10,23,82
30-06-2008,FreeState,76,27,88,54,203,41,63,174
30-06-2008,KZN,157,9,423,214,570,165,289,493
30-06-2008,NorthWest,47,168,82,58,191,35,74,159
30-06-2008,Gauteng,74,35,809,391,1 049,299,797,783
30-06-2008,Mpumalanga,85,74,93,86,257,44,95,162
30-06-2008,Limpopo,66,42,71,98,212,50,59,229
30-03-2008,WesternCape,193,1,357,195,434,95,266,367
30-03-2008,EasternCape,77,3,171,122,297,68,117,321
30-03-2008,NorthenCape,68,14,14,18,53,12,23,76
30-03-2008,FreeState,82,23,102,62,193,42,60,171
